PMID,Title,Abstract
35287311,Antiviral activity of molnupiravir against COVID-19: a schematic review of evidences.,"BACKGROUND: The study was aimed at encapsulating the evidence of in vitro and in vivo antiviral activities of molnupiravir and its active form against highly pathogenic SARS-CoV-2, the pathogen responsible for COVID-19, and finding out the efficacy and safety of molnupiravir in clinical trials. MAIN BODY: Information on publications was explored on several databases, gray literature was reviewed, and the outcomes were discussed narratively. Molnupiravir's antiviral efficacy and associated mechanism of action have been verified in vitro against both non-COVID and multiple coronaviruses. Molnupiravir has been tried in preclinical investigations in numerous animal models against non-coronaviruses. Clinical studies in several countries are now being conducted to evaluate its antiviral efficacy in persons infected with COVID-19. The medication displays antiviral effect via generation of copying mistakes during viral RNA replication. CONCLUSIONS: Molnupiravir is the first oral antiviral medicine to show considerable and convincing antiviral activity in vitro and in animal models. Molnupiravir stops the spread of SARS-CoV-2 in animals that have been infected and in cells grown in a lab. In a clinical research, early molnupiravir treatment reduced hospitalization and death risk in unvaccinated individuals with COVID-19. In the battle against SARS-CoV-2, it could be a potent weapon. However, its role in COVID-19 in moderate to severe cases is still up in the air, and more research is needed."
35199608,Comprehensive review on molnupiravir in COVID-19: a novel promising antiviral to combat the pandemic.,"Despite the progress in the management of COVID-19, effective oral antiviral agents are still lacking. In the present review, the potential beneficial effects of molnupiravir in the management of COVID-19 are discussed. A literature search in Google Scholar, Scopus, PubMed and clinicaltrials.gov for the relevant articles regarding the pharmacokinetics, pharmacodynamics and clinical trials of molnupiravir in the management of COVID-19 is conducted. Most of the preclinical studies and available clinical trials showed a favorable short-term safety profile of molnupiravir; however, given its possible genotoxic effects, further trials are required to confirm the long-term efficacy and safety of molnupiravir in patients with COVID-19."
35294807,Molnupiravir for Covid-19 in Nonhospitalized Patients.,
35294805,Molnupiravir for Covid-19 in Nonhospitalized Patients.,
35294804,Molnupiravir for Covid-19 in Nonhospitalized Patients.,
35294806,Molnupiravir for Covid-19 in Nonhospitalized Patients.,
35134041,Molnupiravir for treatment of COVID-19.,
35029659,COVID-19 Therapeutics for Nonhospitalized Patients.,
35051686,An updated practical guideline on use of molnupiravir and comparison with agents having emergency use authorization for treatment of COVID-19.,"BACKGROUND AND AIMS: Molnupiravir is a newer oral antiviral drug that has recently received emergency use authorization (EUA) in USA, UK and India. We aim to conduct an update on our previous systematic review to provide practical clinical guideline for using molnupiravir in patients with COVID-19. METHODS: We systematically searched the electronic database of PubMed, MedRxiv and Google Scholar until January 5, 2022, using key MeSH keywords. RESULTS: Final result of phase 3 study in 1433 non-hospitalized COVID-19 patients showed a significant reduction in composite risk of hospital admission or death (absolute risk difference, -3.0% [95% confidence interval {CI}, -5.9 to -0.1%]; 1-sided P = 0.02) although with a non-significant 31% relative risk reduction (RRR). RRR for death alone was 89% (95% CI, 14 to 99; P-value not reported). Number needed to treat to prevent 1 death or 1 hospitalization or death composite appears to be closely competitive to other agents having EUA in people with COVID-19. However, cost-wise molnupiravir is comparatively cheaper compared to all other agents. CONCLUSION: Molnupiravir could be a useful agent in non-pregnant unvaccinated adults with COVID-19 who are at increased risk of severity including hospitalization. However, it is effective only when used within 5-days of onset of symptoms. A 5-days course seems to be safe without any obvious short-term side effects."
35134040,Paxlovid for treatment of COVID-19.,
35294808,Molnupiravir for Covid-19 in Nonhospitalized Patients. Reply.,
35138784,Molnupiravir.,"Molnupiravir is a ribonucleoside analogue and antiviral agent that is used in the therapy the severe acute respiratory syndrome (SARS) coronavirus 2 (CoV-2) infection, the cause of the novel coronavirus disease, 2019 (COVID-19). Molnupiravir therapy is given orally for 5 days early in the course of SARS-CoV-2 infection and has not been linked to serum aminotransferase elevations or to clinically apparent liver injury."
35184266,Molnupiravir: First Approval.,"Molnupiravir (Lagevrio(®)) is an orally-administered antiviral prodrug that inhibits replication of RNA viruses through viral error induction. It is being developed by Merck and Ridgeback Biotherapeutics for the prevention and treatment of Coronavirus disease 2019 (COVID-19). Molnupiravir received its first approval on 4 November 2021 in the UK for the treatment of mild to moderate COVID-19 in adults with a positive severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) diagnostic test and who have at least one risk factor for developing severe illness. Molnupiravir is filed for approval and has emergency use authorization for the treatment of COVID-19 in several countries, including the USA, Japan and those in the EU. This article summarizes the milestones in the development of molnupiravir leading to this first approval for COVID-19."
35458493,Antiviral Efficacy of Molnupiravir for COVID-19 Treatment.,"The ongoing global pandemic of COVID-19 poses unprecedented public health risks for governments and societies around the world, which have been exacerbated by the emergence of SARS-CoV-2 variants. Pharmaceutical interventions with high antiviral efficacy are expected to delay and contain the COVID-19 pandemic. Molnupiravir, as an oral antiviral prodrug, is active against SARS-CoV-2 and is now (23 February 2022) one of the seven widely-used coronavirus treatments. To estimate its antiviral efficacy of Molnupiravir, we built a granular mathematical within-host model. We find that the antiviral efficacy of Molnupiravir to stop the growth of the virus is 0.56 (95% CI: 0.49, 0.64), which could inhibit 56% of the replication of infected cells per day. There has been good progress in developing high-efficacy antiviral drugs that rapidly reduce viral load and may also reduce the infectiousness of treated cases if administered as early as possible."
35002192,Review on molnupiravir as a promising oral drug for the treatment of COVID-19.,"During the COVID-19 pandemic, various drug candidates have been developed, molnupiravir (MK-4482 and EIDD-2801), which is a new orally anti-viral agent under development for the treatment of COVID-19, is under study in the final stage of the clinical trial. Molnupiravir enhances the replication of viral RNA mutations in animals and humans. Due to the high demand for the synthesis of this drug, it was essential to develop an efficient and suitable synthetic pathway from raw material. In this study, molecular docking analysis on molnupiravir is examined also, the mechanism of action (MOA) and the recent synthetic pathway is reported. This review will be helpful to different disciplines such as medicinal chemistry, organic chemistry, biochemistry, and pharmacology."
35085683,"Remdesivir, Molnupiravir and Nirmatrelvir remain active against SARS-CoV-2 Omicron and other variants of concern.","We assessed the in vitro antiviral activity of remdesivir and its parent nucleoside GS-441524, molnupiravir and its parent nucleoside EIDD-1931 and the viral protease inhibitor nirmatrelvir against the ancestral SARS-CoV2 strain and the five variants of concern including Omicron. VeroE6-GFP cells were pre-treated overnight with serial dilutions of the compounds before infection. The GFP signal was determined by high-content imaging on day 4 post-infection. All molecules have equipotent antiviral activity against the ancestral virus and the VOCs Alpha, Beta, Gamma, Delta and Omicron. These findings are in line with the observation that the target proteins of these antivirals (respectively the viral RNA dependent RNA polymerase and the viral main protease Mpro) are highly conserved."
35418477,Covid-19: What is the evidence for the antiviral molnupiravir?,
34972812,Editorial: Current Status of Oral Antiviral Drug Treatments for SARS-CoV-2 Infection in Non-Hospitalized Patients.,"On 4th November 2021, the first oral antiviral drug for COVID-19, molnupiravir (Lagevrio®), received full regulatory approval from the Medicines and Healthcare Products Regulatory Agency (MHRA) in the UK. Molnupiravir is an orally bioavailable antiviral drug for use at home when a SARS-CoV-2 test is positive. On 22nd December 2022, the FDA granted emergency use authorization (EUA) for the oral antiviral drug, nirmatrelvir/ritonavir (Paxlovid®) for adults and children with mild and moderate COVID-19 at increased risk of progression to severe COVID-19. These regulatory drug approvals come at a crucial time when new variants of concern of the SARS-CoV-2 virus are spreading rapidly. Although the FDA approved remdesivir (Veklury®) on 22nd October 2020 for use in adults and children for the treatment of COVID-19 requiring hospitalization, its use has been limited by the requirement for intravenous administration in a healthcare facility. The four FDA-approved therapeutic neutralizing monoclonal antibodies, imdevimab, bamlanivimab, etesevimab, and casirivimab are costly and also require medically-supervised intravenous administration. The availability of effective, low-cost oral antiviral drugs available in a community setting that can be used at an early stage of SARS-CoV-2 infection is now a priority in controlling COVID-19. An increasing number of repurposed antiviral drugs are currently under investigation or in the early stages of regulatory approval. This Editorial aims to present an update on the current status of orally bioavailable antiviral drug treatments for SARS-CoV-2 infection."
35058606,"SARS-CoV-2 Omicron variant is highly sensitive to molnupiravir, nirmatrelvir, and the combination.",
35233565,Characterization and antiviral susceptibility of SARS-CoV-2 Omicron/BA.2.,"The recent emergence of SARS-CoV-2 Omicron variants possessing large numbers of mutations has raised concerns of decreased effectiveness of current vaccines, therapeutic monoclonal antibodies, and antiviral drugs for COVID-19 against these variants1,2. While the original Omicron lineage, BA.1, has become dominant in many countries, BA.2 has been detected in at least 67 countries and has become dominant in the Philippines, India, and Denmark. Here, we evaluated the replicative ability and pathogenicity of an authentic infectious BA.2 isolate in immunocompetent and human ACE2 (hACE2)-expressing mice and hamsters. In contrast to recent data with chimeric, recombinant SARS-CoV-2 strains expressing the spike proteins of BA.1 and BA.2 on an ancestral WK-521 backbone3, we observed similar infectivity and pathogenicity in mice and hamsters between BA.2 and BA.1, and less pathogenicity compared to early SARS-CoV-2 strains. We also observed a marked and significant reduction in the neutralizing activity of plasma from COVID-19 convalescent individuals and vaccine recipients against BA.2 compared to ancestral and Delta variant strains. In addition, we found that some therapeutic monoclonal antibodies (REGN10987/REGN10933, COV2-2196/COV2-2130, and S309) and antiviral drugs (molnupiravir, nirmatrelvir, and S-217622) can restrict viral infection in the respiratory organs of hamsters infected with BA.2. These findings suggest that the replication and pathogenicity of BA.2 is comparable to that of BA.1 in rodents and that several therapeutic monoclonal antibodies and antiviral compounds are effective against Omicron/BA.2 variants."
35295914,"Molnupiravir, favipiravir and other antiviral drugs with proposed potentials for management of COVID-19: a concern on antioxidant aspect.","COVID-19 is an important global public health problem that causes millions of infections worldwide. The specific antiviral drug for this new infection is still under research. Some new antiviral drugs, including molnupiravir and favipiravir, are proposed for usefulness in management of COVID-19. Additionally, some classic antiviral drugs used for other viral infections are also reproposed for the potentials for management of COVID-19. In the management of COVID-19, there are several pharmacological actions. An important consideration in antiviral therapy is the management of oxidative stress, which plays important roles in viral infections including to COVID-19. The analysis of antioxidative properties of alternative drugs for management of COVID-19 is interesting and can give basic data for further new antiviral drug researching. Here, the authors perform a molecular analysis on molnupiravir, favipiravir and other antiviral drugs with proposed potentials for management of COVID-19 to determine their antioxidative properties. Data from electron acceptor and donor calculation for each drug is used for further estimating overall antioxidative characteristic. Based on the present study, all studied drugs have overall antioxidative properties. Hence, the advantage of molnupiravir, favipiravir and other antiviral drugs with proposed potentials for the management of COVID-19 is their direct action on viral molecule via binding-blocking process as well as antixodiative process. For management of COVID-19 antioxidative stress, other non-antiviral drugs that are proposed for clinical advantage might also be useful."
35287313,The pill of recovery; Molnupiravir for treatment of COVID-19 patients; a systematic review.,"BACKGROUND: Throughout the time of the global pandemic of SARS-CoV-2 virus, there has been a compelling necessity for the development of effective antiviral agents and prophylactic vaccines to limit the virus spread, disease burden, hospitalization, and mortality. Until mid of 2021, the NIH treatment guideline declared no single oral therapy proven to treat mild to moderate cases. A new hope arose when a repurposed direct acting oral anti-viral agent ""Molnupiravir"" was shown to be effective in decreasing mortality and need for hospitalization in mild to moderate cases with relatively good safety profile; exhibiting a significant reduction in virus titers only after two days from administration. Molnupiravir recently granted the FDA emergency use authorization to treat mild to moderate COVID-19 patients with at least one risk factor for progression. METHODS: We performed a computer-based literature search of (PubMed, Science direct, MedRxiv, BioRxiv, ClinicalTrials.gov, ISRCTN, Cochrane COVID study register, EU registry, Clinical Trial Registry-India (CTRI)) till February 15(th), 2022. The following keywords were used in our search (""Molnupiravir "" or ""NHC"" or ""EIDD-2807"" or ""MK-4482"" or ""EIDD-1931""). RESULTS: We identified from the initial search a total of 279 articles; 246 articles (BioRxiv and MedRxiv N=186, PubMed N=33, Science direct N=27) and 33 Clinical trials from the following registries (ISCTRN (N=1), Clinical trials.gov (N=6), CTRI (N=12), Cochrane (N=14)).Through screening phases, 21 records were removed as duplicates and 198 irrelevant records were also excluded. The included studies in this systematic review were (N=60) included 39 published papers and 21 clinical trials. After Manual addition (N=4), the qualitative assessment included (N=64). CONCLUSION: Based on the cumulative evidence from preclinical and clinical studies, Molnupiravir is proven to be well tolerated, direct acting oral anti-viral agent to halt the disease progression in mild to moderate COVID-19 cases; in terms of mortality and hospitalization rates."
35241455,Molnupiravir's authorisation was premature.,
34978394,Will molnupiravir be a game changer in our efforts to safe COVID-19 outpatients?,
35163429,Computational Analysis of Molnupiravir.,"In this work, we report in-depth computational studies of three plausible tautomeric forms, generated through the migration of two acidic protons of the N(4)-hydroxylcytosine fragment, of molnupiravir, which is emerging as an efficient drug to treat COVID-19. The DFT calculations were performed to verify the structure of these tautomers, as well as their electronic and optical properties. Molecular docking was applied to examine the influence of the structures of the keto-oxime, keto-hydroxylamine and hydroxyl-oxime tautomers on a series of the SARS-CoV-2 proteins. These tautomers exhibited the best affinity behavior (-9.90, -7.90, and -9.30 kcal/mol, respectively) towards RdRp-RTR and Nonstructural protein 3 (nsp3_range 207-379-MES)."
35169793,SARS-CoV-2 variant of concern type and biological sex affect efficacy of molnupiravir in dwarf hamster model of severe COVID-19.,"SARS-CoV-2 variants of concern (VOC) have triggered distinct infection waves in the coronavirus disease 2019 (COVID-19) pandemic, culminating in currently all-time high incidence rates of VOC omicron. Orally available direct-acting antivirals such as molnupiravir promise to improve disease management and limit SARS-CoV-2 spread. However, molnupiravir efficacy against VOC delta was questioned based on clinical trial results and its potency against omicron is unknown. This study evaluates molnupiravir against a panel of relevant VOC in three efficacy models: primary human airway epithelium organoids, the ferret model of upper respiratory disease, and a lethal Roborovski dwarf hamster efficacy model of severe COVID-19-like acute lung injury. All VOC were equally efficiently inhibited by molnupiravir in cultured cells and organoids. Treatment consistently reduced upper respiratory VOC shedding in ferrets and prevented viral transmission. Pathogenicity in the dwarf hamsters was VOC-dependent and highest for gamma, omicron, and delta with fulminant lung histopathology. Oral molnupiravir started 12 hours after infection resulted in complete survival of treated dwarf hamsters independent of challenge VOC. However, reduction in lung virus differed VOC-dependently, ranging from one (delta) to four (gamma) orders of magnitude compared to vehicle-treated animals. Dwarf hamsters infected with VOC omicron showed significant individual variation in response to treatment. Virus load reduction was significant in treated males, but not females. The dwarf hamster model recapitulates mixed efficacy of molnupiravir seen in human trials and alerts that therapeutic benefit of approved antivirals must be continuously reassessed in vivo as new VOC emerge."
35104837,Altered TMPRSS2 usage by SARS-CoV-2 Omicron impacts infectivity and fusogenicity.,"The SARS-CoV-2 Omicron BA.1 variant emerged in 2021(1) and has multiple mutations in its spike protein(2). Here we show that the spike protein of Omicron has a higher affinity for ACE2 compared with Delta, and a marked change in its antigenicity increases Omicron's evasion of therapeutic monoclonal and vaccine-elicited polyclonal neutralizing antibodies after two doses. mRNA vaccination as a third vaccine dose rescues and broadens neutralization. Importantly, the antiviral drugs remdesivir and molnupiravir retain efficacy against Omicron BA.1. Replication was similar for Omicron and Delta virus isolates in human nasal epithelial cultures. However, in lung cells and gut cells, Omicron demonstrated lower replication. Omicron spike protein was less efficiently cleaved compared with Delta. The differences in replication were mapped to the entry efficiency of the virus on the basis of spike-pseudotyped virus assays. The defect in entry of Omicron pseudotyped virus to specific cell types effectively correlated with higher cellular RNA expression of TMPRSS2, and deletion of TMPRSS2 affected Delta entry to a greater extent than Omicron. Furthermore, drug inhibitors targeting specific entry pathways(3) demonstrated that the Omicron spike inefficiently uses the cellular protease TMPRSS2, which promotes cell entry through plasma membrane fusion, with greater dependency on cell entry through the endocytic pathway. Consistent with suboptimal S1/S2 cleavage and inability to use TMPRSS2, syncytium formation by the Omicron spike was substantially impaired compared with the Delta spike. The less efficient spike cleavage of Omicron at S1/S2 is associated with a shift in cellular tropism away from TMPRSS2-expressing cells, with implications for altered pathogenesis."
35377719,"In nonhospitalized, unvaccinated adults with COVID-19, molnupiravir reduced hospitalization or death at 29 d.","Jayk Bernal A, Gomes da Silva MM, Musungaie DB, et al. Molnupiravir for oral treatment of Covid-19 in nonhospitalized patients. N Engl J Med. 2022;386:509-20. 34914868."
35315098,Molnupiravir: A lethal mutagenic drug against rapidly mutating severe acute respiratory syndrome coronavirus 2-A narrative review.,"Broad-spectrum antiviral agents targeting viral RNA-dependent RNA polymerase (RdRp) are expected to be a key therapeutic strategy in the ongoing coronavirus disease 2019 (COVID-19) pandemic and its future variants of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus that causes COVID-19. Molnupiravir is a nucleoside analog that in vivo experiments have been reported to inhibit the replication of SARS-CoV-2, the virus that causes COVID-19. Clinical trials of molnupiravir as a therapy for patients with mild-to-moderate COVID-19 also suggest its significant therapeutic efficacy in comparison to placebo. Molnupiravir is lethally mutagenic against viral RNA, but its effect on host cell DNA is being questioned. Herein, the safety concerns of molnupiravir are discussed with recent findings from published reports and clinical trials. The unchanged efficacy of molnupiravir against mutated SARS-CoV-2 variants is also highlighted. With its administration via the oral route, molnupiravir is expected to turn the tide of the COVID-19 pandemic."
35367622,COVID-19 and the promise of small molecule therapeutics: Are there lessons to be learnt?,"The coronavirus disease 2019 (COVID-19) pandemic had grounded the world to a standstill. As the disease continues to rage two years on, it is apparent that effective therapeutics are critical for a successful endemic living with COVID-19. A dearth in suitable antivirals has prompted researchers and healthcare professionals to investigate existing and developmental drugs against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Although some of these drugs initially appeared to be promising for the treatment of COVID-19, they were ultimately found to be ineffective. In this review, we provide a retrospective analysis on the merits and limitations of some of these drugs that were tested against SARS-CoV-2 as well as those used for adjuvant therapy. While many of these drugs are no longer part of our arsenal for the treatment of COVID-19, important lessons can be learnt. The recent inclusion of molnupiravir and Paxlovid™ as treatment options for COVID-19 represent our best hope to date for endemic living with COVID-19. Our viewpoints on these two drugs and their prospects as current and future antiviral agents will also be provided."
